local_authority_district,london_region
Camden,Inner London
Greenwich,Inner London
Hackney,Inner London
Hammersmith and Fulham,Inner London
Islington,Inner London
Kensington and Chelsea,Inner London
Lambeth,Inner London
Lewisham,Inner London
Southwark,Inner London
Tower Hamlets,Inner London
Wandsworth,Inner London
Westminster,Inner London
City of London,Inner London
Barking and Dagenham,Outer London
Barnet,Outer London
Bexley,Outer London
Brent,Outer London
Bromley,Outer London
Croydon,Outer London
Ealing,Outer London
Enfield,Outer London
Haringey,Outer London
Harrow,Outer London
Havering,Outer London
Hillingdon,Outer London
Hounslow,Outer London
Kingston upon Thames,Outer London
Merton,Outer London
Newham,Outer London
Redbridge,Outer London
Richmond upon Thames,Outer London
Sutton,Outer London
Waltham Forest,Outer London
